Autore Test,Implementazione,Funzioni di Attivazione,Tipo di Learning,Aggiornamento Pesi,Archittetura,Epoca in cui si è fermato,Accuracy,Loss Sul Training,Loss Sul Validation,Link Foto,Patience,Learning Rate,N°Epoche,Seed,Loss Function,Funzione di Attivazione di Output
Flo,HomeMade FCNN,LReLU,Batch,Rprop,"784,512,256,128,64,10,",41,"96,7","0,028672","0,145025",Figure_9.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,ReLU,Mini-Batch,Adam,"784,128,64,10,",11,"97,4","0,016209","0,142504",Figure_10.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,LReLU,Mini-Batch,Adam,"784,256,128,64,10,",8,"97,3","0,025542","0,112918",Figure_11.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,Sig,Mini-Batch,Adam,"784,512,256,128,64,10,",14,"97,5","0,012636","0,124702",Figure_12.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,LReLU,Mini-Batch,Adam,"784,128,64,10,",8,"96,8","0,02378","0,137347",Figure_13.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,Sig,Mini-Batch,Adam,"784,256,128,64,10,",13,"97,5","0,01254","0,179829",Figure_14.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,ReLU,Mini-Batch,Adam,"784,512,256,128,64,10,",11,"97,9","0,022398","0,123203",Figure_15.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,Sig,Mini-Batch,Adam,"784,128,64,10,",15,"97,5","0,008857","0,103015",Figure_16.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,ReLU,Mini-Batch,Adam,"784,256,128,64,10,",9,"97,6","0,02368","0,125682",Figure_17.png,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,LReLU,Mini-Batch,Adam,"784,512,256,128,64,10,",14,"98,2","0,025502","0,095494",Figure_18.png,5,"0,001",50,16,CE,Softmax
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Flo,HomeMade FCNN,ReLU,Batch,Rprop,"784, 256, 128, 64, 32, 10",46,"96,5","0,059945","0,146106",https://drive.google.com/file/d/16JMEDEUVCxqBsILfoeNJr9nnoiCBM7RE/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,ReLU,Batch,Rprop,"784, 1024, 512, 256, 128, 10",36,"97,1","0,05086","0,124764",https://drive.google.com/file/d/1wEuZG6waNPFSSECI0YTonReYZbyf94Ne/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Flo,HomeMade FCNN,ReLU,Batch,Rprop,"784, 2048, 1024, 512, 256, 10",37,"97,1","0,033369","0,111613",https://drive.google.com/file/d/1Qfg7gyfarvNaK8pDkDcDZRPbeUX3f0rt/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
