Autore Test,Filtro,Funzioni di Attivazione,Tipo di Learning,Aggiornamento Pesi,Archittetura,Epoca in cui si è fermato,Accuracy,Loss Sul Training,Loss Sul Validation,Link Foto,Patience,Learning Rate,N°Epoche,Seed,Loss Function,padding,stride_cov,stride_pool,kernel_size_pool
Giuliano,5x5,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",7,"99,2","0,0370669594","0,033213",https://drive.google.com/file/d/146Jh4kLOnSk1ETAR4cjcpbCjnGddHGgt/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",21,"99,2","0,006871905065","0,042796",https://drive.google.com/file/d/1GnuImUm7cyXwQVWDs9QsbvoNOKH5wMMp/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",11,"99,3","0,01301194532","0,033332",https://drive.google.com/file/d/1kvlwvHo1ZbYg0am8MOiblljIVJ20HIQ_/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",44,"98,9","0,02726095754","0,044559",https://drive.google.com/file/d/1MIgdelHHew7kBeB7D-IpJbe3CxKBxS1D/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",7,"99,2","0,04119279911","0,036594",https://drive.google.com/file/d/1-miYEeuEpDgaNN-8V8T2KKIPQK-lAEBn/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",8,"99,3","0,02820953109","0,035706",https://drive.google.com/file/d/1jMAJRpBQpeqmi8ORcZh4vqaf4d8Pl9qd/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuliano,5x5,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
